Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ABAR,ABAB3,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,Nyctaginaceae
ABCA,ABAB3,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,Nyctaginaceae
ABCO,ABAB3,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,rubber rabbitbrush,Pinaceae
ABEL,ABAB3,Abronia elliptica A. Nelson,fragrant white sand verbena,Nyctaginaceae
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,rubber rabbitbrush,Nyctaginaceae
ABEL,ABPU2,Abronia pumila Rydb.,rubber rabbitbrush,Nyctaginaceae
ABEL,ABRA,Abronia ramosa Standl.,rubber rabbitbrush,Nyctaginaceae
ABEL,ABSA3,Abronia salsa Rydb.,rubber rabbitbrush,Nyctaginaceae
ABFR2,ABAB3,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,rubber rabbitbrush,Nyctaginaceae
ABIES,ABAB3,Abies Mill.,fir,Pinaceae
ABIN,ABAB3,Abutilon incanum (Link) Sweet,pelotazo,Malvaceae
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,rubber rabbitbrush,Malvaceae
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,rubber rabbitbrush,Malvaceae
ABIN,ABPR4,Abutilon pringlei Hochr.,rubber rabbitbrush,Malvaceae
ABLA,ABAB3,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae
ABLAA,ABAB3,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir,Pinaceae
ABLAA,ABAR2,Abies arizonica Merriam,rubber rabbitbrush,Pinaceae
ABLAL,ABAB3,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae
