Symbol,National Common Name,Family,Author
0,0,0,0
1,2,0,1
2,1,1,2
2,2,1,3
3,3,0,4
3,2,0,5
3,2,0,6
3,2,0,7
3,2,0,6
4,4,0,8
4,2,0,4
5,5,1,9
6,6,2,10
6,2,2,11
6,2,2,12
6,2,2,13
7,7,1,14
8,8,1,15
8,2,1,16
9,7,1,17
9,2,1,18
9,2,1,18
9,2,1,19
9,2,1,20
9,2,1,21
9,2,1,22
10,9,0,23
11,9,0,24
11,2,0,5
12,10,2,25
13,11,0,26
14,12,2,27
14,2,2,28
14,2,2,29
15,13,2,9
16,14,3,30
16,2,3,5
17,15,4,31
18,2,3,32
18,2,3,33
18,2,3,34
18,2,3,35
19,16,5,36
20,17,3,30
20,2,3,37
20,2,3,35
20,2,3,38
21,18,6,14
22,18,6,39
22,2,6,40
22,2,6,41
22,2,6,4
22,2,6,42
22,2,6,42
22,2,6,42
23,19,7,36
24,20,7,43
25,20,7,44
25,2,7,45
25,2,7,46
25,2,7,25
26,21,7,47
26,2,7,48
26,2,7,48
26,2,7,42
27,22,7,14
28,22,7,49
28,2,7,50
28,2,7,51
28,2,7,52
29,23,8,36
30,24,3,53
31,25,3,30
31,2,3,14
31,2,3,40
31,2,3,54
32,26,3,30
32,2,3,55
33,27,8,36
34,27,8,56
34,2,8,6
34,2,8,6
34,2,8,57
34,2,8,6
34,2,8,5
34,2,8,42
35,28,8,58
35,2,8,6
35,2,8,59
35,2,8,40
35,2,8,60
35,2,8,14
35,2,8,57
35,2,8,61
35,2,8,62
35,2,8,63
35,2,8,40
35,2,8,64
35,2,8,18
35,2,8,65
35,2,8,58
35,2,8,40
35,2,8,25
35,2,8,18
35,2,8,6
35,2,8,66
35,2,8,36
36,29,3,30
36,2,3,35
37,30,7,36
38,31,3,30
39,32,3,30
39,2,3,67
39,2,3,68
39,2,3,69
39,2,3,70
39,2,3,67
39,2,3,71
40,30,7,72
40,2,7,73
40,2,7,74
40,2,7,74
40,2,7,6
41,30,7,75
41,2,7,76
41,2,7,77
41,2,7,28
42,31,3,78
42,2,3,79
42,2,3,69
42,2,3,71
42,2,3,69
43,30,7,80
43,2,7,38
44,33,3,30
45,34,3,30
45,2,3,69
45,2,3,81
46,35,6,36
47,36,5,36
48,37,3,30
48,2,3,5
49,38,8,58
49,2,8,82
49,2,8,36
50,39,3,30
50,2,3,83
51,40,3,30
51,2,3,69
51,2,3,69
52,38,8,84
53,41,6,82
54,41,6,85
54,2,6,14
54,2,6,86
54,2,6,87
54,2,6,43
55,42,3,30
55,2,3,55
56,43,3,30
56,2,3,88
57,44,6,36
58,45,3,30
58,2,3,40
59,46,3,30
59,2,3,55
59,2,3,35
60,47,9,89
60,2,9,90
60,2,9,91
60,2,9,92
60,2,9,88
60,2,9,93
61,48,9,36
61,2,9,94
61,2,9,94
61,2,9,95
62,49,9,36
63,50,10,36
64,51,10,36
65,52,3,96
65,2,3,97
65,2,3,98
65,2,3,74
65,2,3,99
66,53,3,36
67,54,11,60
68,55,12,100
69,56,8,42
70,56,8,101
70,2,8,42
70,2,8,6
70,2,8,8
71,56,8,102
71,2,8,103
72,57,13,104
72,2,13,105
73,58,3,29
74,58,3,106
75,58,3,107
75,2,3,108
75,2,3,53
75,2,3,54
76,59,3,54
76,2,3,74
76,2,3,67
77,60,8,109
78,61,3,110
78,2,3,110
78,2,3,85
78,2,3,71
78,2,3,110
78,2,3,71
78,2,3,8
78,2,3,71
78,2,3,55
78,2,3,85
78,2,3,71
78,2,3,111
78,2,3,71
78,2,3,55
79,62,12,112
79,2,12,73
80,63,3,113
80,2,3,74
80,2,3,67
80,2,3,114
80,2,3,115
80,2,3,107
80,2,3,116
80,2,3,53
81,64,13,36
82,65,3,117
82,2,3,36
82,2,3,118
82,2,3,119
82,2,3,120
82,2,3,65
83,66,8,60
84,66,8,102
84,2,8,121
85,66,8,122
85,2,8,40
85,2,8,102
85,2,8,56
85,2,8,42
85,2,8,25
86,66,8,123
86,2,8,6
86,2,8,124
87,67,8,125
87,2,8,42
87,2,8,6
87,2,8,42
87,2,8,126
87,2,8,14
88,68,8,42
89,69,8,127
89,2,8,42
90,68,8,128
90,2,8,40
90,2,8,40
90,2,8,122
90,2,8,42
90,2,8,14
91,70,3,55
91,2,3,71
91,2,3,129
91,2,3,85
92,71,3,130
92,2,3,18
92,2,3,110
92,2,3,5
93,72,3,110
93,2,3,6
93,2,3,131
93,2,3,94
93,2,3,94
93,2,3,38
93,2,3,107
93,2,3,132
94,73,8,133
95,73,8,60
96,74,12,6
97,74,12,134
97,2,12,7
98,74,12,135
99,75,14,36
100,76,3,29
101,77,13,36
102,78,3,36
103,79,3,82
103,2,3,110
103,2,3,71
103,2,3,136
103,2,3,137
103,2,3,74
103,2,3,138
103,2,3,94
104,80,14,139
105,81,3,36
105,2,3,140
105,2,3,141
105,2,3,142
105,2,3,143
105,2,3,131
105,2,3,65
106,82,11,60
107,82,11,144
107,2,11,144
107,2,11,14
108,83,12,112
109,83,12,145
110,84,3,6
110,2,3,55
111,85,15,146
111,2,15,66
111,2,15,9
112,86,15,66
113,87,16,147
113,2,16,148
114,88,17,8
114,2,17,94
115,89,3,149
116,89,3,150
116,2,3,94
116,2,3,139
116,2,3,43
117,90,18,36
117,2,18,36
117,2,18,36
118,91,16,151
118,2,16,25
118,2,16,152
119,92,3,153
119,2,3,143
120,93,17,23
120,2,17,5
120,2,17,5
120,2,17,5
121,94,17,23
122,95,3,154
122,2,3,55
122,2,3,153
123,96,17,117
124,97,2,36
125,96,17,155
126,96,17,156
126,2,17,6
126,2,17,6
127,98,0,7
128,99,18,157
129,99,18,158
129,2,18,159
130,100,16,147
131,101,17,23
132,102,3,36
133,101,17,160
133,2,17,42
134,102,3,161
134,2,3,40
135,103,17,5
135,2,17,162
135,2,17,163
135,2,17,164
135,2,17,165
135,2,17,121
135,2,17,156
135,2,17,121
136,104,19,166
136,2,19,43
136,2,19,167
136,2,19,142
136,2,19,167
136,2,19,168
136,2,19,25
137,105,20,169
137,2,20,169
137,2,20,25
137,2,20,170
137,2,20,171
138,106,21,172
139,107,16,147
140,108,20,171
141,109,0,36
142,110,22,77
143,109,0,173
143,2,0,7
143,2,0,7
144,111,22,174
144,2,22,71
144,2,22,23
144,2,22,175
144,2,22,14
145,112,19,36
146,113,20,169
146,2,20,25
147,114,18,176
148,115,0,36
149,116,17,36
150,117,21,27
150,2,21,177
150,2,21,178
151,118,16,147
152,119,17,6
153,120,3,142
153,2,3,141
153,2,3,85
153,2,3,85
153,2,3,179
153,2,3,180
153,2,3,18
153,2,3,85
153,2,3,110
153,2,3,181
153,2,3,182
154,118,16,151
155,121,20,169
155,2,20,5
155,2,20,5
155,2,20,171
156,122,20,169
156,2,20,183
156,2,20,102
156,2,20,25
157,123,18,184
158,124,8,74
159,125,17,23
160,126,22,9
161,127,3,36
162,124,8,74
162,2,8,7
162,2,8,14
163,128,20,169
163,2,20,5
164,129,18,185
164,2,18,28
164,2,18,186
164,2,18,36
164,2,18,187
165,130,20,169
165,2,20,25
166,131,3,36
167,97,2,36
167,2,2,36
167,2,2,188
168,132,17,36
169,133,17,36
170,133,17,131
170,2,17,189
170,2,17,94
170,2,17,36
171,134,20,169
171,2,20,190
172,135,16,151
173,136,18,191
173,2,18,192
173,2,18,193
173,2,18,186
173,2,18,67
173,2,18,194
174,137,20,169
174,2,20,25
174,2,20,38
175,138,19,60
175,2,19,85
175,2,19,43
176,139,20,35
176,2,20,6
177,140,20,169
177,2,20,25
177,2,20,171
178,141,17,156
178,2,17,6
178,2,17,18
178,2,17,195
178,2,17,5
179,142,20,171
179,2,20,196
180,143,19,124
180,2,19,42
180,2,19,197
180,2,19,54
180,2,19,198
181,144,18,36
182,145,8,8
182,2,8,199
182,2,8,73
183,146,23,36
183,2,23,94
183,2,23,200
183,2,23,6
184,147,14,201
185,147,14,202
186,148,23,203
187,149,8,36
188,150,23,36
189,149,8,204
189,2,8,36
190,151,23,23
190,2,23,36
191,152,8,36
192,153,21,124
192,2,21,205
193,154,8,58
193,2,8,6
193,2,8,6
193,2,8,25
194,155,14,27
195,156,21,36
195,2,21,206
195,2,21,6
195,2,21,23
195,2,21,6
195,2,21,162
195,2,21,124
195,2,21,207
195,2,21,124
195,2,21,205
195,2,21,47
195,2,21,205
195,2,21,208
195,2,21,205
195,2,21,205
195,2,21,209
195,2,21,162
196,157,8,210
196,2,8,25
196,2,8,112
196,2,8,4
197,158,23,36
197,2,23,82
197,2,23,211
197,2,23,212
198,159,24,213
199,160,8,214
199,2,8,6
200,161,25,215
200,2,25,42
200,2,25,216
201,162,26,36
202,163,25,156
203,163,25,217
203,2,25,203
203,2,25,5
203,2,25,218
203,2,25,219
203,2,25,218
203,2,25,6
203,2,25,215
204,164,21,14
205,165,21,36
206,166,23,23
207,167,23,23
208,167,23,220
208,2,23,200
208,2,23,18
208,2,23,42
209,168,8,58
209,2,8,6
209,2,8,25
